blank,ask_code,topic,en,ko,ru,zh,mn,zh_py,note
,va001,va1,sun (n.),해(太陽),солнце,太阳,нар,tai4 yang2 ,
,va002,va2,(sun) rise (v.),뜨다(해가+),Восходит солнце.,出(日+),нар гарах,chu1,
,va003,va2,(sun) set (v.),지다(해가+),Заходит солнце.,落(日+),нар шингэх,luo4,
,va004,va2,sunrise,일출,восход солнца,日出,нар мандах,ri4 chu1 ,
,va005,va2,sunset,일몰,заход солнца,日落,нар жаргах,ri4 luo4 ,
,va006,va1,moon (n.),달,луна,月亮,сар,yue4 liang ,
,va007,va2,"new moon, crescent moon",초승달,молодой месяц,月牙儿,хавирган сар,yue4 ya2r,
,va008,va2,full moon,보름달,полная луна,圆月,тэргэл сар,yuan2 yue4 ,
,va009,va1,star (n.),별,звезда,星星,од,xing1 xing,
,va010,va2,The Big Dipper,북두칠성,Большая Медведица,北斗七星,долоон бурхан,bei3 dou3 qi1 xing1 ,
,va011,va1,sky,하늘,небо,天(天空的+),тэнгэр,tian1 (tian1 kong1 de +)  ,
,va012,va2,(the) earth (n.),지구,Земля (планета),地球,дэлхий,di4 qiu2 ,
,va013,va1,light (n.),햇빛,свет (солнца),光(太阳光的+),гэрэл,guang1 (tai4 yang2 guang1 de +),
,va014,va1,land (n.),땅,земля,地(天地的+),газар,di4 (tian1 di4 de +),
,va015,va1,soil (n.),흙,почва,土(泥土的+),шороо,tu3 (ni2 tu3 de +),
,va016,va2,cultivated land,논밭/경작지,пашня,田地(种田地的+),тарианы газар,tian2 di4 (zhong4 tian2 di4 de +),
,va017,va1,field (n.),밭/들,поле,田(几亩田的+),тариалангийн талбай,tian2 (ji3 mu3 tian2 de +),
,va018,va1,sand,모래,песок,沙子(盖房子用的+),элс,sha1 zi (gai4 fang2 zi yong4 de +),
,va019,va2,sandy ground/soil,모래땅,песчаная почва,沙地(沙子地的+),элсэрхэг газар,sha1 di4 (sha1 zi di4 de +),
,va020,va3,muddy/marsh ground,진흙땅,глиняная почва,泥地,шаварлаг газар,ni2 di4 ,
,va021,va3,dry ground,마른 땅,сухая почва,干地,чийггүй хɵрс,gan1 di4 ,
,va022,va3,gravel,자갈,гравий,石子儿,хайрга чулуу,shi2 zi3r,
,va023,va3,clay,찰흙,глина,粘土,шавар шороо,nian2 tu3 ,
,va024,va3,mud,진흙,грязь (напр. на дороге после дождя),泥土,лаг шавар,ni2 tu3 ,
,va025,va2,swamp/marsh,늪,болото,沼泽,намаг,zhao3 ze2 ,
,va026,va3,marsh land,늪지,болотистая местность,沼泽地,намгархаг газар,zhao3 ze2 di4 ,
,va027,va3,land,육지,суша,陆地(大海，陆地的+),хуурай газар,lu4 di4 (da4 hai3 lu4 di4 de +),
,va028,va2,steppe,초원,степь,草原,хээр тал,cao3 yuan2 ,
,va029,va2,plain (n.),평원,равнина,平原,өргөн тал,ping2 yuan2 ,
,va030,va3,wild plains,광야,просторы (напр. степные),旷野,ээрэм тал,kuang4 ye3 ,
,va031,va1,forest,숲,лес,林子(长满树的+),ой,lin2 zi (zhang3 man3 shu4 de +),
,va032,va3,forest,삼림,лес (густой),森林,ой хөвч,sen1 lin2 ,
,va033,va1,stock farm,목장,пастбище,牧场,бэлчээр,mu4 chang3 ,
,va034,va1,mountain,산,гора,山(上山的+),уул,shan1 (shang4 shan1 de +),
,va035,va2,mountaintop,산꼭대기/산봉우리,вершина горы,山顶/山峰,,shan1 ding3 /shan1 feng1,
,va036,va2,mountain peak,산꼭대기,,山顶,уулын орой,shan1 ding3 ,
,va037,va3,mountain peak,산봉우리,,山峰,уулын оргил,shan1 feng1 ,
,va038,va3,mountain ridge,산등성이,гребень горы,山岗,уулын хяр,shan1 gang3 ,
,va039,va3,slope,산비탈,склон горы,山坡,уулын бэл,shan1 po1 ,
,va040,va2,valley,산골짜기/계곡,долина,山谷,жалга,shan1 gu3 ,
,va041,va2,cliff/precipice,절벽,обрыв,山崖,эгц цохио,shan1 ya2 ,
,va042,va3,whirlpool,소용돌이,водоворот,漩涡,усны эргүүлэг,xuan4 wo1,
,va043,va3,rapid stream,급류,быстрое течение,急流,түргэн урсгал,ji2 liu2 ,
,va102,va3,shallows/ford (n.),여울,мель,滩(江河中水浅多石而水流很急的地方),таргил,tan1(jiang1 he2 zhong1 shui3 qian3 duo1 shi2 er2 shui3 liu2 hen3 ji2 de di4 fang),
,va044,va3,oasis,오아시스,оазис,绿州,баян бүрд,lv4 zhou1 ,
,va045,va3,waterfall,폭포,водопад,瀑布,хүрхрээ,pu4 bu4 ,
,va046,va2,desert,사막,пустыня,沙漠,цөл,sha1 mo4 ,
,va103,va2,The Gobi,고비,гоби (бесплодная степь),戈壁(乾燥草原~砂漠),говь ,,
,va047,va1,river,강,река,江(江河的+),гол,jiang1 (jiang1 he2 de +),
,va048,va1,rivulet,시내/내,речка,小河,,xiao3 he2 ,
,va049,va2,brook,개울,ручей,小溪,,xiao3 xi1 ,
,va104,va1,stream,시내/내/개울,,,горхи,,
,va050,va3,waterway,하천,водопроток,河(江河的+),мөрөн,he2 (jiang1 he2 de +),
,va051,va1,sea,바다,море,海(大海的+),далай,hai3 (da4 hai3 de +),
,va052,va1,lake,호수,озеро,湖(湖水的+),нуур,hu2 (hu2 shui3 de +),
,va053,va2,pond,연못,пруд,莲花池,цөөрөм,lian2 hua1 chi2,
,va054,va3,ditch,도랑,канава,水沟,суваг,shui3 gou1 ,
,va055,va1,ice,얼음,лёд,冰(结冰的+),мөс,bing1 (jie2 bing1 de +),
,va056,va1,water,물,вода,水(喝水的+),ус,shui3 (he1 shui3 de +),
,va057,va1,well,우물,колодец,井(水井的+),худаг,jing3 (shui3 jing3 de +),
,va058,va1,spring,샘,"родник, ключ",泉(泉水的+),булаг,quan2 (quan2 shui3 de +),
,va059,va3,hot spring,온천,горячий источник,温泉,халуун рашаан,wen1 quan2 ,
,va060,va3,reservoir,저수지,водохранилище,水库,усны сан,shui3 ku4,
,va061,va3,(river) bank,둑,плотина,堤(堤坝的+),далан,di1 (di1 ba4 de +),
,va062,va1,fire,불,огонь,火(着火的+),гал,huo3 (zhao2 huo3 de +),
,va063,va1,stone,돌,камень,石头,чулуу,shi2 tou ,
,va064,va2,rock,바위,скала,岩石,хад,yan2 shi2 ,
,va065,va1,country/nation,나라,страна,国家,улс,guo2 jia1,
,va066,va2,China,중국,Китай,中国,Хятад,zhong1 guo2 ,
,va067,va2,Manchu,만주,Маньчжурия,满洲,Манж,man3 zhou1 ,
,va068,va2,Peking,북경,Пекин,北京,Бээжин,bei3 jing1 ,
,va099,va2,Mongolia,몽골,Монголия,蒙古,Монгол,meng3 gu3,
,va100,va2,Kazakhstan,카자흐스탄,Казахстан,哈萨克斯坦,Хасаг,ha1 sa4 ke4,
,va101,va2,Tatarstan,타타르스탄,Татарстан,鞑靼斯坦,Татар,da2 da2,
,va069,va2,Russia,러시아,Россия,俄罗斯,Орос,e2 luo2 si1,
,va070,va2,Japan,일본,Япония,日本,Япон,ri4 ben3 ,
,va071,va2,Korea,한국,Корея,朝鲜,Солонгос,chao2 xian3 ,
,va072,va3,hometown/native place,고향,родное место,故乡,төрсөн нутаг,gu4 xiang1,
,va073,va3,capital (city),수도(首都),столица,首都,нийслэл хот,shou3 du1 ,
,va074,va3,province,도(道),провинция,省,аймаг,sheng3 ,
,va075,va3,county,군(郡),губерния,,сум,,
,va098,va3,city/county,시(市)/군(郡),,市/县(乌鲁木齐市的+),,shi4 /xian4 (wu1 lu3 mu4 qi2 shi4 de +),
,va076,va3,prefecture,현(縣),префектура,县(县城的+),,xian4 (xian4 cheng2 de +),
,va077,va3,district,읍(행정구획단위),,乡/镇,,xiang1 /zhen4 ,
,va078,va3,town,면(행정구획단위),,镇/街道,баг,zhen4 /jie1 dao4,
,va105,va3,,촌락,село,,,,
,va106,va3,,부락,посёлок,,,,
,va079,va2,city,도시,город,城市/都市,хот,cheng2 shi4 /du1 shi4,
,va080,va3,region,지방(地方),регион,地方(地方城镇的+),орон нутаг,di4 fang1 (di4 fang1 cheng2 zhen4 de +),
,va081,va1,village,마을/동네,деревня,村(村子的+),тосгон,cun1 (cun1 zi de +),
,va082,va2,street,거리(街),улица,街上/街头,гудамж,jie1 shang /jie1 tou ,
,va083,va2,family,가구(家口),семья (единица. напр. 10 семей) ,户(+几户人家的+),өрх айл,hu4 (+ji3 hu4 ren2 jia1 de +) ,
,va084,va1,place,장소,место,地方(这个地方+),газар,di4 fang (zhe4 ge di4 fang de +),
,va085,va2,location,위치,месторасположение,位置,байрлал,wei4 zhi,
,va086,va1,island,섬,остров,岛(岛屿的+),арал,dao3 (dao3 yu3 de +),
,va087,va3,gulf,만(灣),залив,湾(港湾的+),булан,wan1 (gang3 wan1 de +),
,va088,va2,bay,만(강의+),речной залив,河湾,голын тохой,he2 wan1 ,
,va089,va2,wave,파도,волна,波涛,долгион,bo1 tao1 ,
,va090,va3,riverside,강변,речной берег,河边,голын эрэг,he2 bian1 ,
,va091,va3,shore,해안,морской берег,海岸,далайн эрэг,hai3 an4 ,
,va092,va2,waters edge,물가,берег,岸(河岸上的+),эрэг,an4 (he2 an4 shang de +),
,va093,va3,beach,해변,пляж,海边,далайн хаялга,hai3 bian1 ,
,va094,va2,cave,굴/동굴,пещера,洞/洞穴/窟窿,агуй,dong4 /dong4 xue2 /ku1 long,
,va095,va2,cave,굴,,洞(山洞的+),,dong4 (shan1 dong4 de +),
,va096,va3,cave,동굴,,洞穴,,dong4 xue2 ,
,va097,va3,Cave,굴(대개 고유명사 뒤),,窟窿,,ku1 long,
,vw001,vw3,earthquake,지진,землетрясение,地震,газар хөдлөлт,di4 zhen4 ,
,vw002,vw2,avalanche,눈사태,снежная лавина,雪崩,цасан нуранги,xue3 beng1 ,
,vw003,vw1,"flood, inundation",홍수,наводнение,洪水,үер,hong2 shui3 ,
,vw004,vw1,drought,가뭄,засуха,旱灾,ган,han4 zai1,
,vw005,vw3,typhoon,태풍,тайфун,台风,хар салхи,tai2 feng1 ,
,vw040,vw3,squall (n.),돌풍/회오리바람,вихрь,飑风,хуй салхи,biao1 /xuan4 feng1,
,vw006,vw3,"strom, tempest",폭풍,буря,风暴,шуурга,feng1 bao4 ,
,vw007,vw3,haze (n.),아지랑이,дымка,游丝,зэргэлээ,you2 si1 ,
,vw008,vw3,heat,열(방바닥이나 페치카 위의+),жар (напр. на печке),,илч дулаан,,
,vw039,vw3,heat,열(열기의+),,热(热气的+),халуун,re4 (re4 qi4 de +),
,vw009,vw3,weather,날씨,погода,天气,цаг агаар,tian1 qi4 ,
,vw010,vw1,rain,비,дождь,雨(+下雨的+),бороо,yu3 (xia4 yu3 de +),
,vw011,vw1,rain(v),오다(비가+),Идёт дождь.,下(下雨的+),бороо орох,xia4 (xia4 yu3 de +) ,
,vw012,vw1,snow,눈(雪),снег,雪(下雪的+),цас,xue3 (xia4 xue3 de +) ,
,vw013,vw1,snow(v),오다(눈이+),Идёт снег.,下(下雪的+),цас орох,xia4 (xia4 xue3 de +) ,
,vw014,vw1,snowstorm,눈보라,метель,风雪,цасан шуурга,feng1 xue3 ,
,vw015,vw3,blizzard,눈보라(아주 강한+),вьюга,暴风雪,хүчтэй цасан шуурга,bao4 feng1 xue3,
,vw016,vw1,wind,바람,ветер,风(刮风的+),салхи,feng1 (gua1 feng1 de +),
,vw017,vw1,blow,불다(바람이+),Дует ветер.,刮(刮风的+),салхилах,gua1 (gua1 feng1 de +) ,
,vw018,vw3,wind winding through valleys??,하곡풍,,河谷风,голын хөндийн салхи,he2 gu3 feng1 ,
,vw019,vw1,cloud,구름,облако,云彩,үүл,yun2 cai ,
,vw020,vw1,clear,맑다,ясно,晴(晴天的+),цэлмэх,qing2 (qing2 tian1 de +),
,vw021,vw1,cloudy,흐리다(날씨가+),облачно,阴(阴天的+),бүрхэх,yin1 (yin1 tian1 de +),
,vw022,vw3,fine weather,맑은 날씨,ясная погода,晴天,цэлмэг өдөр,qing2 tian1 ,
,vw023,vw3,cloudy weather,흐린 날씨,облачная погода,阴天,бүрхэг өдөр,yin1 tian1 ,
,vw024,vw3,air,공기,воздух,空气,агаар,kong1 qi4 ,
,vw025,vw1,fog,안개(짙은+),туман,雾(起雾的+),манан,wu4 (qi3 wu4 de +),
,vw026,vw3,haze,안개(옅은+),мгла,雾气,будан,wu4 qi4,
,vw027,vw3,foggy,끼다(안개가+),туманно,下/起(下雾的+),манан татах,xia4 /qi3 (xia4 wu4 de + ),
,vw028,vw1,rainbow,무지개,радуга,彩虹,солонго,cai3 hong2 ,
,vw029,vw1,thunder (n.),천둥,гром,雷(打雷的+),аянга,lei2 (da3 lei2 de +),
,vw030,vw3,thunder(v),치다(천둥이+),Гремит гром.,打(打雷的+),аянга буух,da3 (da3 lei2 de +) ,
,vw031,vw1,lightning,번개,молния,闪电,цахилгаан,shan3 dian4 ,
,vw032,vw3,(lightning) flash (v.),치다(번개가+),Сверкает молния.,打(打闪电的+),цахилгаан цахих,da3 (+da4 shan3 dian4 de +),
,vw033,vw3,bolt of lightning,벼락,грозовой разряд,霹雳,тэнгэрийн дуу,pi1 li4 ,
,vw034,vw3,hail (n.),우박,град,雹子/冰雹,мөндөр,bao2 zi /bing1 bao2,
,vw035,vw1,dew,이슬,роса,露水,шүүдэр,lu4 shui3 ,
,vw036,vw1,freeze,얼다,замерзать,冻(白菜冻了的+),хөлдөх,dong4 (bai2 cai4 dong4 le de +),
,vw037,vw1,frost,서리,иней,霜(霜降的+),хяруу,shuang1 (shuang1 jiang4 de de +),
,vw038,vw3,sunbathe ,쬐다(햇볕을+),загорать (на солнце),晒(晒太阳的+),наранд ээх,shai4 (shai4 tai4 yang de +),
,vy001,vy3,(time) period,시기,период,时期(困难时期的+),үе,shi2 qi1 (kun4 nan2 shi2 qi1 de +),
,vy002,vy3,(a fixed) date,기일/기한,срок,日期,хугацаа,ri4 qi1 ,
,vy003,vy2,time,시간,время,时间,цаг,shi2 jian1 ,
,vy004,vy1,year,해/년,год,年(2005年的+),он,nian2 (er4 ling2 ling2 wu3 nian2 de +),
,vy005,vy1,this year,금년,этот год,今年,энэ жил,jin1 nian2 ,
,vy006,vy1,last year,작년,прошлый год,去年,ноднин,qu4 nian2 ,
,vy007,vy3,the year before last,재작년,позапрошлый год,前年,уржнан,qian2 nian2 ,
,vy008,vy1,next year,내년,следующий год,明年,ирэх жил,ming2 nian2 ,
,vy009,vy3,the year after next,내후년,через год,后年,гурван жилийн дараа,hou4 nian2 ,
,vy010,vy3,season,계절,время года,季节,улирал,ji4 jie2 ,
,vy011,vy1,spring (n.),봄,весна,春天,хавар,chun1 tian1 ,
,vy012,vy1,summer,여름,лето,夏天,зун,xia4 tian1 ,
,vy013,vy1,autumn,가을,осень,秋天,намар,qiu1 tian1 ,
,vy014,vy1,winter,겨울,зима,冬天,өвөл,dong1 tian1 ,
,vy015,vy1,month,달/월,месяц,月(一月的+),сар,yue4 (yi2 yue4 de +),
,vy016,vy2,first day of the month,초하루,первое число месяца,初一,шинийн нэгэн,chu1 yi1 ,
,vy017,vy3,the second (of the month),초이틀,второе число месяца,二号,шинийн хоёрон,er4 hao4 ,
,vy018,vy3,the third (of the month),초사흘,третье число месяца,三号,шинийн гурван,san1 hao4 ,
,vy019,vy2,a half month,보름,пятнадцатое число месяца,十五天,шинийн арван таван,shi2 wu3 tian1 ,
,vy020,vy3,first ten days of a month,상순,первая декада месяца,上旬,сарын эх,shang4 xun2 ,
,vy021,vy3,middle ten days of a month,중순,вторая декада месяца,中旬,сарын дунд,zhong1 xun2 ,
,vy022,vy3,last ten days of a month,하순,последняя декада месяца,下旬,сарын сүүл,xia4 xun2 ,
,vy023,vy2,this month,이번 달,этот месяц,这个月,энэ сар,zhe4 ge yue4 ,
,vy024,vy2,last month,지난 달,прошлый месяц,上个月,өнгөрсөн сар,shang4 ge yue4 ,
,vy025,vy2,next month,다음 달,следующий месяц,下个月,дараагийн сар,xia4 ge yue4 ,
,vy026,vy2,January,1월,январь,一月/正月,нэгдүгээр сар,yi2 yue4 /zheng1 yue4 ,
,vy027,vy2,February,2월,февраль,二月,хоёрдугаар сар,er4 yue4 ,
,vy028,vy2,March,3월,март,三月,гуравдугаар сар,san2 yue4 ,
,vy029,vy2,April,4월,апрель,四月,дөрөвдүгээр сар,si4 yue4 ,
,vy030,vy2,May,5월,май,五月,тавдугаар сар,wu3 yue4 ,
,vy031,vy2,June,6월,июнь,六月,зургадугаар сар,liu4 yue4 ,
,vy032,vy2,July,7월,июль,七月,долоодугаар сар,qi2 yue4 ,
,vy033,vy2,August,8월,август,八月,наймдугаар сар,ba1 yue4 ,
,vy034,vy2,September,9월,сентябрь,九月,есдүгээр сар,jiu3 yue4 ,
,vy035,vy2,October,10월,октябрь,十月,аравдугаар сар,shi2 yue4 ,
,vy036,vy2,November,11월,ноябрь,十一月,арван нэгдүгээр сар,shi2 yi2 yue4 ,
,vy037,vy2,December,12월,декабрь,十二月,арван хоёрдугаар сар,shi2 er4 yue4 ,
,vy038,vy3,the first day of spring  ,입춘,"сезон ""начала весны"" с 4~5 февраля, один из 24 сезонов сельскохозяйственного года",立春,,li4 chun1 ,
,vy039,vy3,the first day of summer,입하,"сезон ""начала лета"" с 6~7 мая, один из 24 сезонов сельскохозяйственного года",立夏,,li4 xia4 ,
,vy040,vy3,the first day of fall,입추,"сезон ""начала осени"" с 8~9 августа, один из 24 сезонов сельскохозяйственного года",立秋,,li4 qiu1 ,
,vy041,vy3,the first day of winter,입동,"сезон ""начала зимы"" с 7~8 ноября, один из 24 сезонов сельскохозяйственного года",立冬,,li4 dong1 ,
,vy042,vy1,(a) day,날(日),день (напр. три дня),天/日(三天的+),өдөр,tian1 /ri4 (san1 tian1 de +),
,vy043,vy2,day (24 hours),하루(24시간),сутки,一天,хоног,yi4 tian1,
,vy044,vy1,today,오늘,сегодня,今天,өнөөдөр,jin1 tian1 ,
,vy045,vy1,yesterday,어제,вчера,昨天,өчигдөр,zuo2 tian1 ,
,vy046,vy2,the day before yesterday,그저께,позавчера,前天,уржигдар,qian2 tian1 ,
,vy047,vy3,three days ago,그끄저께,три дня назад,大前天,уржийн уржигдар,da4 qian2 tian1,
,vy048,vy3,the other day,지난날,прошлые дни,过去的日子,өнгөрсөн өдрүүд,guo4 qu4 de ri4 zi,
,vy049,vy2,the day before,전날,предыдущий день,前一天,урд өдөр,qian2 yi tian1 ,
,vy050,vy1,tomorrow,내일,завтра,明天,маргааш,ming2 tian1 ,
,vy051,vy2,the day after tomorrow,모레,послезавтра,后天,нөгөөдөр,hou4 tian1 ,
,vy052,vy3,two days after tomorrow,글피,через два дня,大后天,нөгөөдрийн маргаш,da4 hou4 tian1 ,
,vy053,vy3,workday,근무일,рабочий день,工作日,ажлын өдөр,gong1 zuo4 ri4 ,
,vy054,vy3,a day off/a holiday,휴일,выходной день,休息日,амралтын өдөр,xiu1 xi ri4,
,vy055,vy3,day of the week,요일,день недели,星期,гариг,xing1 qi1 ,
,vy056,vy2,Sunday,일요일,воскресенье,星期日,ням гариг,xing1 qi1 ri4 ,
,vy057,vy2,Monday,월요일,понедельник,星期一,даваа гариг,xing1 qi1 yi1 ,
,vy058,vy2,Tuesday,화요일,вторник,星期二,мягмар гариг,xing1 qi1 er4 ,
,vy059,vy2,Wednesday,수요일,среда,星期三,лхагва гариг,xing1 qi1 san1 ,
,vy060,vy2,Thursday,목요일,четверг,星期四,пүрэв гариг,xing1 qi1 si4 ,
,vy061,vy2,Friday,금요일,пятница,星期五,баасан гариг,xing1 qi1 wu3 ,
,vy062,vy2,Saturday,토요일,суббота,星期六,бямба гариг,xing1 qi1 liu4 ,
,vy067,vy3,one hour,1시간,один час,一个小时/一个钟头,нэг цаг,yi2 ge xiao3 shi2 /yi2 ge zhong1 tou2 ,
,vy063,vy3,hour,시,час,点(下午2点的+),цаг,dian3 (xia4 wu3 liang3 dian3 de +),
,vy064,vy2,minute,분,минута,分(30分钟的+),минут,fen1 (san1 shi2 fen1 zhong1 de +),
,vy065,vy2,second,초,секунда,秒(几分几秒的+),секунд,miao3 (ji3 fen1 ji3 miao3 de +),
,vy066,vy2,What time?,몇 시,который час?,几点,хэдэн цаг,ji3 dian3 ,
,vy068,vy3,one minute,1분,одна минута,一分钟,нэг минут,yi4 fen1 zhong1 ,
,vy069,vy3,half an hour,30분,полчаса,三十分钟/半个小时,гучин минут,san1 shi fen1 zhong /ban4 ge xiao3 shi2,
,vy070,vy2,rainy season,장마철/우기,"дождливый сезон, сезон дождей",梅雨季节/雨季,борооны улирал,mei2 yu3 ji4 jie2 /yu3 ji4 ,
,vy071,vy2,dry season,건기,засушливый сезон,旱季,хуурай улирал,han4 ji4 ,
,vy072,vy2,dawn,새벽,рассвет,黎明,үүр,li2 ming2 ,
,vy073,vy1,morning,아침,утро,早晨,өглөө,zao3 chen,
,vy136,vy2,in the morning,아침에,утром,早晨(早晨吃面的+),,zao3 chen (zao3 chen chi1 mian4 de +),
,vy074,vy1,noon,낮,день (напр. день и ночь),白天(白天和夜晚的+),өдөр (жб. өдөр шөнө),bai2 tian1 (bai2 tian2 he2 ye4 wan3 de +),
,vy075,vy2,in the daytime,낮에,днём,白天(白天吃面的+),"өдөр (жб. өдөр нь унтаж, шөнө ажиллах) ",bai2 tian1 (bai2 tian1 chi1 mian4 de +),
,vy076,vy2,in the morning,오전에,до обеда,上午,үдээс өмнө,shang4 wu3 ,
,vy077,vy2,noon,정오,полдень,中午,жин үд,zhong1 wu3 ,
,vy078,vy2,the afternoon,오후에,после обеда,下午,үдээс хойш,xia4 wu3 ,
,vy079,vy2,twilight,황혼,сумерки,黄昏,харуй бүрий,huang2 hun1 ,
,vy080,vy1,evening,저녁,вечер,晚上,орой,wan3 shang ,
,vy137,vy2,,저녁에,вечером,晚上(晚上吃面的+),,wan3 shang (wan3 shang chi1 mian4 de +),
,vy081,vy1,night,밤,ночь,夜(深夜的+),шөнө,ye4 (shen1 ye4 de +),
,vy082,vy2,at night,밤에,ночью,夜里,"шөнө (жб. шөнө нь ажиллаж, өдөр унтах) ",ye4 li,
,vy083,vy3,midnight,한밤중/자정,полночь,半夜,шөнө дунд,ban4 ye4 ,
,vy084,vy3,one night,하룻밤,одна ночь,一夜,нэг шөнө,yi2 ye4 ,
,vy085,vy1,when,언제,когда,什么时候,хэзээ,shen2 me shi2 hou,
,vy086,vy3,previous time,이전에/종전에,раньше,以前/从前,урьд өмнө,yi3 qian2 ,
,vy087,vy3,before now,이전에,,以前(我以前来过这儿的+),,yi3 qian2 (wo3 yi3 qian2 lai2 guo4 zhe4r de +),
,vy088,vy3,previous/before ??,종전에,,从前,,cong2 qian2 ,
,vy089,vy1,after this(that) time,나중에,потом,以后,сүүлд,yi3 hou4 ,
,vy090,vy3,another time,다른 날/다음에,в другой день,改天,дараа,gai3 tian1 ,
,vy091,vy3,once upon a time,전에 언젠가,когда-то (раньше),曾经,урьд нэг цагт,ceng2 jing1 ,
,vy092,vy3,(a) moment,순간,"момент, мгновение",瞬间,хором,shun4 jian1 ,
,vy093,vy1,at first,먼저,сначала,先(我先走了的+),эхлээд,xian1 (wo3 xian1 zou3 le de +),
,vy094,vy3,the latest/the most recent,최근,в последнее время,最近,сүүлийн үед,zui4 jin4 ,
,vy095,vy3,long ago,오래되다,давно,好久,удах,hao3 jiu3 ,
,vy096,vy3,just now,방금/막,только что,刚才,сая,gang1 cai2 ,
,vy097,vy3,little while ago,조금 전,недавно,刚刚,саяхан ,gang1 gang1,
,vy098,vy3,nowdays,요즘,в эти дни,近来/最近,ойрдоо,jin4 lai2 /zui4 jin4 ,
,vy099,vy3,for a while,잠시(예정),ненадолго,暂时,хэсэг зуур,zan4 shi2 ,
,vy100,vy3,short period,단기간,в короткий срок,短时间,богино хугацаа,duan3 shi2 jian1 ,
,vy101,vy1,already,이미,уже,已经,хэдийнээ,yi3 jing1 ,
,vy102,vy1,"yet, still",아직,ещё,还(还没走的+),хараахан,hai2 (hai2 mei2 zou3 de +),
,vy103,vy3,still,여전히,по-прежнему,仍然,хэвээр,reng2 ran2 ,
,vy104,vy3,until now,지금까지,до сих пор,至今,одоо болтол,zhi4 jin1 ,
,vy105,vy3,"after this, from now on",지금부터,с этого момента,今后,одоогоос,jin1 hou4 ,
,vy106,vy1,soon,곧,скоро,马上(我们马上走的+),шууд ,ma3 shang4 (wo3 men ma3 shang4 zou3 de +),
,vy107,vy3,immediately,즉각,"сразу, немедленно",立刻,агшин зуур,li4 ke4 ,
,vy108,vy1,(for a) little while,잠깐(+동안),недолго,一会儿,түр зуур,yi2 hui4r,
,vy109,vy1,sometimes,가끔,иногда,有时(我有时抽烟的+),хааяа,you3 shi2 (wo3 you3 shi2 chou1 yan1 de +),
,vy110,vy1,often,자주,часто,经常(我经常抽烟的+),дандаа,jing1 chang2 (wo3 jing1 chang2 chou1 yan1 de +),
,vy111,vy3,rarely,드물게,редко,很少(他很少抽烟的+),"ховор, цөөн",hen3 shao3 (ta1 hen3 shao3 chou1 yan1 de +),
,vy112,vy1,How old are you?,몇 살(당신은 +입니까?),Сколько (Вам) лет?,岁(年岁的+),хэдэн настай,sui4 (nian2 sui4 de +),
,vy113,vy3,age,나이,возраст,岁数,нас,sui4 shu,
,vy114,vy1,right now,지금,сейчас,,эдүүгээ,,
,vy115,vy1,now,이제,теперь,,ɵнɵɵ,,
,vy138,vy1,,지금/이제,,现在,,xian4 zai4 ,
,vy116,vy3,about/by (2 oclock),경/쯤(2시+),около (двух часов),左右(时间),орчим,zuo3 you4 (shi2 jian1),
,vy117,vy3,every morning,아침마다,каждое утро,每天早上,өглөө бүр,mei3 tian1 zao3 shang ,
,vy118,vy3,"nightly, every evening",저녁마다,каждый вечер,每天晚上,орой болгон,mei3 tian1 wan3 shang ,
,vy119,vy3,"annually, every year",해마다/매년,каждый год,每年,жил бүр,mei3 nian2 ,
,vy120,vy3,every month,매달,каждый месяц,每月,сар бүр,mei3 yue4 ,
,vy121,vy3,everyday,매일,каждый день,每天,өдөр болгон,mei3 tian1 ,
,vy122,vy3,temporary,임시적,временный,临时的,түр,lin2 shi2 de,
,vy123,vy1,New Year,새해,Новый Год,新年,шинэ жил,xin1 nian2 ,
,vy124,vy3,"memorial day, anniversary",기념일,юбилей,纪念日,тэмдэглэлт өдөр,ji4 nian4 ri4 ,
,vy125,vy3,holiday,경축일,праздник,庆祝日,баяр ёслолын өдөр,qing4 zhu4 ri4,
,vy126,vy1,birthday,생일,день рождения,生日,төрсөн өдөр,sheng1 ri4 ,
,vy127,vy3,this week,이번 주,эта неделя,这个星期,энэ долоо хоног,zhe4 ge xing1 qi1 ,
,vy128,vy3,this morning,오늘 아침에,сегодня утром,今天早上,өнөө өглөө,jin1 tian1 zao3 shang ,
,vy129,vy3,this evening,오늘 저녁에,сегодня вечером,今天晚上,өнөө орой,jin1 tian1 wan3 shang ,
,vy130,vy3,tonight,오늘 밤에,сегодня ночью,今夜,өнөө шөнө,jin1 ye4 ,
,vy131,vy3,last night,어젯밤에/지난밤,вчера ночью,昨天夜里/昨晚,урд шөнө,zuo2 tian1 ye4 li /zuo2 wan3,
,vy132,vy3,present,현재,настоящее,现在(现在和未来的+),одоо,xian4 zai4 (xian4 zai4 he2 wei4 lai2 de +),
,vy133,vy3,past,과거,прошлое,过去(现在和过去的+),өнгөрсөн,guo4 qu4 (xian4 zai4 he2 guo4 qu4 de +),
,vy134,vy3,future,미래,будущее,将来,ирээдүй,jiang1 lai2 ,
,vy135,vy3,order (sequence),순서,порядок,次序/顺序,дэс дараа,ci4 xu4 /shun4 xu4,
,vr001,vr1,person/people,사람,человек,人(中国人的+),хүн,ren2 (zhong1 guo2 ren2 de +),
,vr002,vr1,last (family) name,성씨,фамилия,姓(您贵姓的+),овог,xing4 (nin2 gui4 xing4 de +),
